Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
meiji fmt 1 900gm,Baby Food,69,4902705126961,,0,0,4460.0,,1,0,0,0,1,,,,,,
meiji fmt 2 900gm,Baby Food,70,4902705127067,,0,0,4460.0,,1,0,0,0,1,,,,,,
v-max voyager 6-axis gyro quadcopter,Toys,71,nocode,,0,0,6000.0,,1,0,0,0,1,,,,,,
wei ye city parking lot,Toys,72,nocode,,0,0,2400.0,,1,0,0,0,1,,,,,,
UAV 2.4ghz 6-axis gyro drone,Toys,73,nocode,,0,0,5330.0,,1,0,0,0,1,,,,,,
Pucket Game,Games,74,nocode,,0,0,1500.0,,1,0,0,0,1,,,,,,
doctor medical set 17pcs,Toys,75,nocode,,0,0,1080.0,,1,0,0,0,1,,,,,,
fairy princess dresser backpack set 17pcs,Toys,76,nocode,,0,0,1080.0,,1,0,0,0,1,,,,,,
little chef cooking backpack set 22pcs,Toys,77,nocode,,0,0,1080.0,,1,0,0,0,1,,,,,,
Nestle Bunyad 260gm,,78,8961008218700,,0,0,380.0,,1,0,0,0,1,,,,,,
Nestle Bunyad 900gm,,79,8961008218724,,0,0,1280.0,,1,0,0,0,1,,,,,,
Nestle EveryDay 230 gm,,80,8961008217000,,0,0,390.0,,1,0,0,0,1,,,,,,
Nestle EveryDay 350 gm,,81,8961008217604,,0,0,700.0,,1,0,0,0,1,,,,,,
Nestle EveryDay 850 gm,,82,8961008217611,,0,0,1450.0,,1,0,0,0,1,,,,,,
Nestle NIDO School Age Nutrition 390 gm,,83,8961008218892,,0,0,740.0,,1,0,0,0,1,,,,,,
Nestle NIDO School Age Nutrition 900 gm,,84,8961008218915,,0,0,1590.0,,1,0,0,0,1,,,,,,
Part Pack Tissue Pink Regular,,85,8961006040051,,0,0,225.0,,1,0,0,0,1,,,,,,
Part Pack Tissue Pink Perfumed,,86,8961006040068,,0,0,240.0,,1,0,0,0,1,,,,,,
S&S Glass Feeder 150ml SY-033,,87,6921175403240,,0,0,680.0,,1,0,0,0,1,,,,,,
bablov Glass Feeder 180ml,,88,5060600820519,,0,0,630.0,,1,0,0,0,1,,,,,,
yes Glass Feeder 120ml,,89,6978398927176,,0,0,500.0,,1,0,0,0,1,,,,,,
Taoqi Glass Feeder 180ml,,90,4897049518605,,0,0,640.0,,1,0,0,0,1,,,,,,
m2 Glass Feeder 120ml,,91,6978398969022,,0,0,630.0,,1,0,0,0,1,,,,,,
Taoqi Glass Feeder 120ml,,92,4897049515505,,0,0,520.0,,1,0,0,0,1,,,,,,
aizhilang ALG Glass Feeder 120ml,,93,6954971882582,,0,0,550.0,,1,0,0,0,1,,,,,,
Bionic natural Glass Feeder 120ml,,94,6956593452556,,0,0,660.0,,1,0,0,0,1,,,,,,
yb Glass Feeder 120ml,,95,6956593452556,,0,0,660.0,,1,0,0,0,1,,,,,,
yes Glass Feeder 60ml,,96,6978398927244,,0,0,400.0,,1,0,0,0,1,,,,,,
yes'o Electric Mosquito Racket,,97,6925263638026,,0,0,960.0,,1,0,0,0,1,,,,,,
Subaru Black Hair Shampoo 400ml,,98,6942644305216,,0,0,650.0,,1,0,0,0,1,,,,,,
Subaru Black Hair Shampoo Sashey  25 ml,,99,6942644316236,,0,0,50.0,,1,0,0,0,1,,,,,,
Cobra Insect Killer 500ml x,,100,8692641005395,,0,0,600.0,,1,0,0,0,1,,,,,,
Cobra Insect Killer 400ml,,101,6924012201542,,0,0,430.0,,1,0,0,0,1,,,,,,
Cobra Insect Killer 500ml,,102,6924012201528,,0,0,520.0,,1,0,0,0,1,,,,,,
Power Plus Insect Killer 500ml,,103,6053889426618,,0,0,420.0,,1,0,0,0,1,,,,,,
Kingtox Insect Killer 325ml,,104,689076783378,,0,0,400.0,,1,0,0,0,1,,,,,,
Mortein Insect Killer 375ml,,105,8961101231415,,0,0,570.0,,1,0,0,0,1,,,,,,
Cobra Insect Killer 300ml,,106,8699621630080,,0,0,420.0,,1,0,0,0,1,,,,,,
Firidi Air Freshener  Lavender 300ml,,107,5021156080062,,0,0,480.0,,1,0,0,0,1,,,,,,
Firidi Air Freshener  SandalWood 300ml,,108,5021156080024,,0,0,480.0,,1,0,0,0,1,,,,,,
Firidi Air Freshener  Rose 300ml,,109,5021156080031,,0,0,480.0,,1,0,0,0,1,,,,,,
Firidi Air Freshener  Jasmine 300ml,,110,5021156080017,,0,0,480.0,,1,0,0,0,1,,,,,,
Cobra Air Freshener Montreal 300ml,,111,2000000382609,,0,0,460.0,,1,0,0,0,1,,,,,,
Cobra Air Freshener Cologne 300ml,,112,7156852701145,,0,0,460.0,,1,0,0,0,1,,,,,,
Aseel  Air Freshener Al-Rehab 400ml,,113,6291110010544,,0,0,580.0,,1,0,0,0,1,,,,,,
Rumba Scent 5ml,,114,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Hijr-e-Aswed Scent 5ml,,115,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Rasha Scent Dark Red 5ml,,116,6310454158887,,0,0,230.0,,1,0,0,0,1,,,,,,
Al Fares Scent 5ml,,117,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
dunhill desire Scent 5ml,,118,6253259422381,,0,0,230.0,,1,0,0,0,1,,,,,,
Versace Crystal Pink Scent 5ml,,119,6310454158887,,0,0,230.0,,1,0,0,0,1,,,,,,
Aseel  Scent 5ml,,120,5684468451151,,0,0,190.0,,1,0,0,0,1,,,,,,
DAHN Al-Oudh Scent 5ml,,121,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Lord Scent 5ml,,122,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Havok Scent 5ml,,123,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Silver Oudh Scent 5ml,,124,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Rasha Scent Red 5ml,,125,7844864818745,,0,0,230.0,,1,0,0,0,1,,,,,,
Dirham Scent 5ml,,126,6253259422374,,0,0,230.0,,1,0,0,0,1,,,,,,
Ghilaf-e-Kaaba Scent Black 5ml,,127,6310454158849,,0,0,230.0,,1,0,0,0,1,,,,,,
Sultan White Scent 5ml,,128,6310454158887,,0,0,230.0,,1,0,0,0,1,,,,,,
FOGG Scent 5ml,,129,6310454158887,,0,0,230.0,,1,0,0,0,1,,,,,,
Ruh Gulab Scent 5ml,,130,6310454158887,,0,0,190.0,,1,0,0,0,1,,,,,,
Dr JIM Breast Gell 100gm,,131,9864001015330,,0,0,500.0,,1,0,0,0,1,,,,,,
Dr JIM Breast Gell x 100gm,,132,9864001015316,,0,0,500.0,,1,0,0,0,1,,,,,,
Nair Hair Remover 200gm,,133,5010724525685,,0,0,1080.0,,1,0,0,0,1,,,,,,
Care Hair Remover Spray ,,134,3920006647870,,0,0,250.0,,1,0,0,0,1,,,,,,
viga Dooz Spray,,135,nocode,,0,0,850.0,,1,0,0,0,1,,,,,,
PROCOMIL SPRAY'S TESTER 4ml,,136,nocode,,0,0,60.0,,1,0,0,0,1,,,,,,
NOVAGOLD Hair Spray 200ml,,137,5021156120645,,0,0,380.0,,1,0,0,0,1,,,,,,
SABA&LOAN Hair Spray,,138,nocode,,0,0,430.0,,1,0,0,0,1,,,,,,
DIPLOMAT After Shave 50ml,,139,nocode,,0,0,100.0,,1,0,0,0,1,,,,,,
OMEGA After Shave ,,140,8966000002357,,0,0,190.0,,1,0,0,0,1,,,,,,
DENIM After Shave Black 100ml,,141,7640129895021,,0,0,670.0,,1,0,0,0,1,,,,,,
DENIM After Shave Musk 100ml,,142,7640129895014,,0,0,670.0,,1,0,0,0,1,,,,,,
DENIM After Shave Original 100ml,,143,7640129895007,,0,0,670.0,,1,0,0,0,1,,,,,,
Gillete After Shave 100ml,,144,7702018501144,,0,0,910.0,,1,0,0,0,1,,,,,,
Gillete Shave Gell 75ml,,145,7702018980857,,0,0,410.0,,1,0,0,0,1,,,,,,
Gillete Shave Gell Mach3 75ml,,146,7702018404391,,0,0,410.0,,1,0,0,0,1,,,,,,
Gillete Shaving Foam 50ml,,147,4902430777483,,0,0,310.0,,1,0,0,0,1,,,,,,
Gelleme Foam Normal Skin Classic 400ml,,148,3553633626040,,0,0,390.0,,1,0,0,0,1,,,,,,
Gelleme Foam Sensitive Skin Ice cool 400ml,,149,3553633626019,,0,0,390.0,,1,0,0,0,1,,,,,,
Gelleme Foam Sensitive Skin Lemon 400ml,,150,3553633626033,,0,0,390.0,,1,0,0,0,1,,,,,,
Medora perfume bouquet 60ml,Perfumes & Body Spray,151,8961100040483,,0,0,550.0,,1,0,0,0,1,,,,,,
Medora perfume festiva 60ml,Perfumes & Body Spray,152,8961100040544,,0,0,550.0,,1,0,0,0,1,,,,,,
Medora perfume gardenia 60ml,Perfumes & Body Spray,153,8961100040513,,0,0,550.0,,1,0,0,0,1,,,,,,
Gillete Shave Gell Sensitive 200ml,,154,7702018581979,,0,0,700.0,,1,0,0,0,1,,,,,,
Gillete Shaving Foam Regular 200ml,,155,7702018980925,,0,0,550.0,,1,0,0,0,1,,,,,,
Gillete Shaving Foam Lemon 200ml,,156,3014260228750,,0,0,550.0,,1,0,0,0,1,,,,,,
Gillete Shaving Foam Mousse 200ml,,157,7702018980932,,0,0,550.0,,1,0,0,0,1,,,,,,
Medora Perfume Shadow 35ml,Perfumes & Body Spray,158,8961100040568,,0,0,320.0,,1,0,0,0,1,,,,,,
Medora perfume festival 35ml,Perfumes & Body Spray,159,8961100040537,,0,0,380.0,,1,0,0,0,1,,,,,,
Medora perfume gardenia 35ml,Perfumes & Body Spray,160,8961100040506,,0,0,380.0,,1,0,0,0,1,,,,,,
Medora perfume bouquet 12ml,Perfumes & Body Spray,161,8961100040469,,0,0,240.0,,1,0,0,0,1,,,,,,
Medora perfume festival 12ml,Perfumes & Body Spray,162,8961100040520,,0,0,240.0,,1,0,0,0,1,,,,,,
Medora perfume gardenia 12ml,Perfumes & Body Spray,163,8961100040490,,0,0,240.0,,1,0,0,0,1,,,,,,
Medora Perfume Shadow 60ml,Perfumes & Body Spray,164,8961100040575,,0,0,550.0,,1,0,0,0,1,,,,,,
Delycia Perfume Dream 60ml,Perfumes & Body Spray,165,8961100040629,,0,0,550.0,,1,0,0,0,1,,,,,,
Delycia Perfume Dream 35ml,Perfumes & Body Spray,166,8961100040612,,0,0,380.0,,1,0,0,0,1,,,,,,
Delycia Perfume Dream 12ml,Perfumes & Body Spray,167,8961100040605,,0,0,220.0,,1,0,0,0,1,,,,,,
Delycia Perfume Feelings 60ml,Perfumes & Body Spray,168,8961100040681,,0,0,550.0,,1,0,0,0,1,,,,,,
Delycia Perfume Feelings 35ml,Perfumes & Body Spray,169,8961100040674,,0,0,380.0,,1,0,0,0,1,,,,,,
Delycia Perfume Feelings 12ml,Perfumes & Body Spray,170,8961100040667,,0,0,220.0,,1,0,0,0,1,,,,,,
